NO_DAC_CONNECTION,"1 Нет связи с ЦАП"
NO_LOAD,"2 Отсутствие нагрузки"
DAC_OVERHEAT,"3 Перегрев ЦАП"
CRC_ERROR,"4 Ошибка CRC"
CHANNEL_DISABLED,"5 Канал отключен"
SHORT_CIRCUIT,"6 Короткое замыкание"
